0N54X,choosy,48,0.0,71,71,4863
CZB1K40PC,choosy,12,0.0,63,63,6059
Q7KWST4WH,choosy,28,0.0,22,22,6027
4YHF1TRM,choosy,23,0.0,29,29,3575
7K1G1,choosy,42,0.0,76,76,9626
XEV5F,normal,26,0.0,33,33,7276
4ZNHBKKFX,normal,49,0.0,30,30,8168
TVZJM7XEA,normal,14,0.0,67,67,6709
OGRECL,normal,33,0.0,50,50,8526
9HQ9DN,normal,5,0.0,72,72,6201
WYFKONF2F,desperate,9,0.0,43,43,9442
D7ZCB3A,desperate,50,0.0,22,22,2031
3XXL31V7,desperate,44,0.0,39,39,7433
44CHH,desperate,48,0.0,31,31,4310
TDD5UW,desperate,8,0.0,71,71,5931
